obj_id,obj_type,obj_variant,trial,hexagram_name,hexagram_similarity,strategy_type,force_preset,modifier,effective_force,S_yao,inference_ms,strategy_label,difficulty,occluded,yao_relations_enabled
34,rock,不规则石块,1,JIAN,0.9835,difficult_grasp,0.45,0.9,0.41,0.51,3.59,neutral,medium,False,True
34,rock,不规则石块,2,JIAN,0.9835,difficult_grasp,0.45,0.9,0.41,0.51,3.46,neutral,medium,False,True
35,vase,玻璃花瓶,0,FU,0.9919,iterative_grasp,0.32,0.9,0.29,0.46,3.58,neutral,medium,False,True
35,vase,玻璃花瓶,1,FU,0.9919,iterative_grasp,0.32,0.9,0.29,0.46,3.49,neutral,medium,False,True
35,vase,玻璃花瓶,2,FU,0.9919,iterative_grasp,0.32,0.9,0.29,0.46,3.47,neutral,medium,False,True
36,vase,陶瓷花瓶,0,LU,0.9978,cautious_grasp,0.32,0.9,0.29,0.46,3.43,reasonable,medium,False,True
36,vase,陶瓷花瓶,1,LU,0.9978,cautious_grasp,0.32,0.9,0.29,0.46,3.46,reasonable,medium,False,True
36,vase,陶瓷花瓶,2,LU,0.9978,cautious_grasp,0.32,0.9,0.29,0.46,3.65,reasonable,medium,False,True
37,vase,陶瓷花瓶,0,XIAOGUO,0.9428,cautious_grasp,0.37,1.05,0.39,0.73,3.55,reasonable,medium,False,True
37,vase,陶瓷花瓶,1,XIAOGUO,0.9428,cautious_grasp,0.37,1.05,0.39,0.73,3.54,reasonable,medium,False,True
37,vase,陶瓷花瓶,2,XIAOGUO,0.9428,cautious_grasp,0.37,1.05,0.39,0.73,3.44,reasonable,medium,False,True
38,vase,陶瓷花瓶,0,XIAOGUO,0.9093,cautious_grasp,0.3,0.85,0.26,0.47,3.53,reasonable,medium,False,True
38,vase,陶瓷花瓶,1,XIAOGUO,0.9093,cautious_grasp,0.3,0.85,0.26,0.47,3.6,reasonable,medium,False,True
38,vase,陶瓷花瓶,2,XIAOGUO,0.9093,cautious_grasp,0.3,0.85,0.26,0.47,3.52,reasonable,medium,False,True
39,vase,陶瓷花瓶,0,QIAN_GUA,0.9572,reduced_force_grasp,0.25,1.0,0.25,0.47,3.67,neutral,medium,False,True
39,vase,陶瓷花瓶,1,QIAN_GUA,0.9572,reduced_force_grasp,0.25,1.0,0.25,0.47,3.49,neutral,medium,False,True
39,vase,陶瓷花瓶,2,QIAN_GUA,0.9572,reduced_force_grasp,0.25,1.0,0.25,0.47,3.48,neutral,medium,False,True
